Employee_ID,Department,Salary,Experience,Updated_Salary,Salary_Anomaly
1001,Marketing,77251.0,12,84976.1,No
1002,Sales,47662.0,10,52428.200000000004,No
1003,Finance,33392.0,6,36731.200000000004,No
1004,Sales,55535.0,7,61088.50000000001,No
1005,Sales,78989.98913043478,4,78989.98913043478,No
1006,HR,77256.0,7,84981.6,No
1007,Finance,114135.0,11,125548.50000000001,No
1008,Finance,60222.0,8,66244.20000000001,No
1009,Finance,202373.0,11,222610.30000000002,Yes
1010,Sales,104575.0,1,104575.0,No
1011,Marketing,109651.0,6,120616.1,No
1012,Finance,88335.0,8,97168.50000000001,No
1013,Sales,35965.0,5,35965.0,No
1014,HR,49538.0,4,49538.0,No
1015,Marketing,78989.98913043478,2,78989.98913043478,No
1016,HR,33110.0,6,36421.0,No
1017,Marketing,104309.0,6,114739.90000000001,No
1018,Sales,52266.0,11,57492.600000000006,No
1019,IT,77992.0,1,77992.0,No
1020,Marketing,307948.0,9,338742.80000000005,Yes
1021,HR,31910.0,12,35101.0,No
1022,Sales,115982.0,11,127580.20000000001,No
1023,Marketing,25206.0,6,27726.600000000002,No
1024,IT,112054.0,13,123259.40000000001,No
1025,IT,112897.0,3,112897.0,No
1026,Finance,48419.0,4,48419.0,No
1027,Finance,75636.0,12,83199.6,No
1028,HR,75015.0,11,82516.5,No
1029,Marketing,79268.0,4,79268.0,No
1030,Marketing,112939.0,3,112939.0,No
1031,Finance,43141.0,10,47455.100000000006,No
1032,Marketing,105356.0,3,105356.0,No
1033,Marketing,96910.0,3,96910.0,No
1034,IT,78989.98913043478,4,78989.98913043478,No
1035,Finance,92214.0,7,101435.40000000001,No
1036,Sales,58827.0,4,58827.0,No
1037,Finance,80820.0,9,88902.0,No
1038,Sales,87623.0,1,87623.0,No
1039,IT,106734.0,8,117407.40000000001,No
1040,HR,78989.98913043478,7,86888.98804347827,No
1041,Marketing,118426.0,2,118426.0,No
1042,IT,47299.0,8,52028.9,No
1043,Marketing,68585.0,1,68585.0,No
1044,HR,89044.0,11,97948.40000000001,No
1045,HR,67557.0,12,74312.70000000001,No
1046,IT,74080.0,9,81488.0,No
1047,HR,27693.0,9,30462.300000000003,No
1048,Sales,94163.0,2,94163.0,No
1049,HR,50939.0,7,56032.9,No
1050,Marketing,73925.0,14,81317.5,No
1051,Marketing,67941.0,10,74735.1,No
1052,Marketing,46834.0,3,46834.0,No
1053,Marketing,43047.0,7,47351.700000000004,No
1054,Sales,51105.0,12,56215.50000000001,No
1055,Finance,100766.0,10,110842.6,No
1056,IT,78989.98913043478,9,86888.98804347827,No
1057,Marketing,46976.0,4,46976.0,No
1058,HR,69262.0,12,76188.20000000001,No
1059,Marketing,48776.0,1,48776.0,No
1060,HR,78989.98913043478,2,78989.98913043478,No
1061,HR,91842.0,1,91842.0,No
1062,Marketing,86373.0,14,95010.3,No
1063,Sales,31776.0,12,34953.600000000006,No
1064,HR,117787.0,5,117787.0,No
1065,HR,80016.0,5,80016.0,No
1066,Marketing,34474.0,11,37921.4,No
1067,HR,83053.0,7,91358.3,No
1068,HR,46959.0,9,51654.9,No
1069,Marketing,30530.0,9,33583.0,No
1070,Marketing,119856.0,3,119856.0,No
1071,IT,78989.98913043478,3,78989.98913043478,No
1072,Sales,38545.0,3,38545.0,No
1073,Sales,91199.0,4,91199.0,No
1074,HR,-2766.0,8,-3042.6000000000004,Yes
1075,Sales,98530.0,6,108383.00000000001,No
1076,HR,118557.0,8,130412.70000000001,No
1077,IT,86087.0,1,86087.0,No
1078,Marketing,93840.0,8,103224.00000000001,No
1079,Marketing,79384.0,4,79384.0,No
1080,Marketing,76005.0,11,83605.5,No
1081,Sales,71576.0,1,71576.0,No
1082,IT,64353.0,8,70788.3,No
1083,Sales,87003.0,4,87003.0,No
1084,Sales,108211.0,6,119032.1,No
1085,IT,77733.0,8,85506.3,No
1086,IT,90318.0,4,90318.0,No
1087,IT,114474.0,14,125921.40000000001,No
1088,IT,48664.0,3,48664.0,No
1089,Marketing,92172.0,14,101389.20000000001,No
1090,Finance,110616.0,9,121677.6,No
1091,Finance,118264.0,3,118264.0,No
1092,IT,45736.0,9,50309.600000000006,No
1093,Finance,119209.0,13,131129.90000000002,No
1094,Finance,25854.0,2,25854.0,No
1095,IT,115084.0,14,126592.40000000001,No
1096,Finance,78989.98913043478,2,78989.98913043478,No
1097,Sales,32392.0,2,32392.0,No
1098,HR,80680.0,6,88748.0,No
1099,HR,71717.0,3,71717.0,No
1100,IT,112092.0,13,123301.20000000001,No
